Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Molecular Functions,21,GO:0140657,ATP-dependent activity,,-21,6.3,14,30284,584,346,42,12,1.8,498|506|1654|2181|3313|3326|3329|3801|4430|4641|4644|4998|5700|6950|7203|8449|8653|9361|9493|9785|9804|9928|10051|10111|10131|10575|11004|11218|23137|54555|55210|56652|57062|57696|64794|79039|79665|79677|80179|81930|83858|146909,ATP5F1A|ATP5F1B|DDX3X|ACSL3|HSPA9|HSP90AB1|HSPD1|KIFC3|MYO1B|MYO1C|MYO5A|ORC1|PSMC1|TCP1|CCT3|DHX16|DDX3Y|LONP1|KIF23|DHX38|TOMM20|KIF14|SMC4|RAD50|TRAP1|CCT4|KIF2C|DDX20|SMC5|DDX49|ATAD3A|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40|SMC6|MYO19|KIF18A|ATAD3B|KIF18B,-17,MyList
GO Molecular Functions,21,GO:0016887,ATP hydrolysis activity,,-20,7.6,14,30284,417,346,36,10,1.6,498|506|1654|3313|3326|3329|4998|5700|6950|7203|8449|8653|9361|9493|9785|9928|10051|10111|10131|10575|11004|11218|23137|54555|55210|56652|57062|57696|64794|79039|79665|79677|80179|81930|83858|146909,ATP5F1A|ATP5F1B|DDX3X|HSPA9|HSP90AB1|HSPD1|ORC1|PSMC1|TCP1|CCT3|DHX16|DDX3Y|LONP1|KIF23|DHX38|KIF14|SMC4|RAD50|TRAP1|CCT4|KIF2C|DDX20|SMC5|DDX49|ATAD3A|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40|SMC6|MYO19|KIF18A|ATAD3B|KIF18B,-17,MyList
Reactome Gene Sets,6,R-HSA-2262752,Cellular responses to stress,,-19,5.5,13,30284,690,346,43,12,1.8,472|545|1347|2197|3014|3020|3301|3313|3326|3329|5563|5700|5709|5931|6045|6169|6191|6193|6204|6209|6217|6233|7846|8340|8349|8697|9361|9532|9631|10111|10294|10376|10383|10985|22894|23225|25994|54512|57332|64061|91582|126961|259217,ATM|ATR|COX7A2|FAU|H2AX|H3-3A|DNAJA1|HSPA9|HSP90AB1|HSPD1|PRKAA2|PSMC1|PSMD3|RBBP7|RNF2|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|TUBA1A|H2BC13|H2BC21|CDC23|LONP1|BAG2|NUP155|RAD50|DNAJA2|TUBA1B|TUBB4B|GCN1|DIS3|NUP210|HIGD1A|EXOSC4|CBX8|TSPYL2|RPS19BP1|H3C14|HSPA12A,-15,MyList
Reactome Gene Sets,6,R-HSA-8953897,Cellular responses to stimuli,,-18,5,12,30284,788,346,45,13,1.8,472|545|1347|2197|2767|3014|3020|3301|3313|3326|3329|5563|5700|5709|5931|6045|6169|6191|6193|6204|6209|6217|6233|7846|8340|8349|8697|9361|9532|9631|10111|10294|10376|10383|10985|22894|23225|25994|54512|57332|64061|91582|126961|253260|259217,ATM|ATR|COX7A2|FAU|GNA11|H2AX|H3-3A|DNAJA1|HSPA9|HSP90AB1|HSPD1|PRKAA2|PSMC1|PSMD3|RBBP7|RNF2|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|TUBA1A|H2BC13|H2BC21|CDC23|LONP1|BAG2|NUP155|RAD50|DNAJA2|TUBA1B|TUBB4B|GCN1|DIS3|NUP210|HIGD1A|EXOSC4|CBX8|TSPYL2|RPS19BP1|H3C14|RICTOR|HSPA12A,-15,MyList
GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0009987 cellular process,-17,5,12,30284,747,346,43,12,1.8,472|545|1025|1454|1736|3014|3182|3326|3329|4673|4998|5001|5347|5931|6598|6742|9093|9100|9361|9582|9730|9937|9960|10111|10293|10635|11143|11177|11198|22890|22944|23137|54433|54512|54840|55388|55505|55719|55929|56652|79677|254225|283106,ATM|ATR|CDK9|CSNK1E|DKC1|H2AX|HNRNPAB|HSP90AB1|HSPD1|NAP1L1|ORC1|ORC5|PLK1|RBBP7|SMARCB1|SSBP1|DNAJA3|USP10|LONP1|APOBEC3B|DCAF1|DCLRE1A|USP3|RAD50|TRAIP|RAD51AP1|KAT7|BAZ1A|SUPT16H|ZBTB1|KIN|SMC5|GAR1|EXOSC4|APTX|MCM10|NOP10|SLF2|DMAP1|TWNK|SMC6|RNF169|CSNK2A3,-14,MyList
GO Biological Processes,19,GO:0006364,rRNA processing,19_GO:0009987 cellular process,-17,10,14,30284,216,346,25,7.2,1.4,1736|6135|6209|6217|6839|8602|22894|23212|50628|51077|51118|54433|54512|54555|55505|55759|55813|57455|64216|64282|65083|79039|84135|84154|88745,DKC1|RPL11|RPS15|RPS16|SUV39H1|NOP14|DIS3|RRS1|GEMIN4|FCF1|UTP11|GAR1|EXOSC4|DDX49|NOP10|WDR12|UTP6|REXO1|TFB2M|TENT4B|NOL6|DDX54|UTP15|RPF2|RRP36,-14,MyList
GO Cellular Components,20,GO:0009295,nucleoid,,-17,27,19,30284,49,346,15,4.3,1.1,506|1373|3030|3032|3313|6472|6742|7284|7417|9093|9361|10128|55210|56652|64216,ATP5F1B|CPS1|HADHA|HADHB|HSPA9|SHMT2|SSBP1|TUFM|VDAC2|DNAJA3|LONP1|LRPPRC|ATAD3A|TWNK|TFB2M,-14,MyList
GO Cellular Components,20,GO:0042645,mitochondrial nucleoid,,-17,27,19,30284,49,346,15,4.3,1.1,506|1373|3030|3032|3313|6472|6742|7284|7417|9093|9361|10128|55210|56652|64216,ATP5F1B|CPS1|HADHA|HADHB|HSPA9|SHMT2|SSBP1|TUFM|VDAC2|DNAJA3|LONP1|LRPPRC|ATAD3A|TWNK|TFB2M,-14,MyList
GO Molecular Functions,21,GO:0017111,ribonucleoside triphosphate phosphatase activity,,-17,5,12,30284,741,346,42,12,1.8,498|506|1654|1938|2767|2773|3313|3326|3329|4998|5700|6950|7203|7284|8449|8653|9361|9493|9785|9928|10051|10111|10131|10376|10383|10575|11004|11218|23137|54555|55210|56652|57062|57696|64794|79039|79665|79677|80179|81930|83858|146909,ATP5F1A|ATP5F1B|DDX3X|EEF2|GNA11|GNAI3|HSPA9|HSP90AB1|HSPD1|ORC1|PSMC1|TCP1|CCT3|TUFM|DHX16|DDX3Y|LONP1|KIF23|DHX38|KIF14|SMC4|RAD50|TRAP1|TUBA1B|TUBB4B|CCT4|KIF2C|DDX20|SMC5|DDX49|ATAD3A|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40|SMC6|MYO19|KIF18A|ATAD3B|KIF18B,-14,MyList
GO Biological Processes,19,GO:0016072,rRNA metabolic process,19_GO:0009987 cellular process,-17,9.1,14,30284,251,346,26,7.5,1.4,1736|6135|6209|6217|6839|8602|9014|22894|23212|50628|51077|51118|54433|54512|54555|55505|55759|55813|57455|64216|64282|65083|79039|84135|84154|88745,DKC1|RPL11|RPS15|RPS16|SUV39H1|NOP14|TAF1B|DIS3|RRS1|GEMIN4|FCF1|UTP11|GAR1|EXOSC4|DDX49|NOP10|WDR12|UTP6|REXO1|TFB2M|TENT4B|NOL6|DDX54|UTP15|RPF2|RRP36,-14,MyList
GO Biological Processes,19,GO:0071826,protein-RNA complex organization,19_GO:0009987 cellular process,-16,9.4,14,30284,234,346,25,7.2,1.4,1736|2197|3326|6135|6169|6193|6209|6606|8161|8487|11218|11338|23197|23212|24148|25929|50628|51634|54960|79753|79760|79833|84154|84811|91746,DKC1|FAU|HSP90AB1|RPL11|RPL38|RPS5|RPS15|SMN1|COIL|GEMIN2|DDX20|U2AF2|FAF2|RRS1|PRPF6|GEMIN5|GEMIN4|RBMX2|GEMIN8|SNIP1|GEMIN7|GEMIN6|RPF2|BUD13|YTHDC1,-13,MyList
Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-16,5.5,12,30284,584,346,37,11,1.7,472|545|1454|1736|3014|3020|3065|3326|4751|4998|5001|5347|5431|5437|5700|5709|5931|6233|6790|7846|8340|8349|8697|9631|10051|10111|10376|10383|11004|22974|22994|23133|23225|55320|55505|81930|126961,ATM|ATR|CSNK1E|DKC1|H2AX|H3-3A|HDAC1|HSP90AB1|NEK2|ORC1|ORC5|PLK1|POLR2B|POLR2H|PSMC1|PSMD3|RBBP7|RPS27A|AURKA|TUBA1A|H2BC13|H2BC21|CDC23|NUP155|SMC4|RAD50|TUBA1B|TUBB4B|KIF2C|TPX2|CEP131|PHF8|NUP210|MIS18BP1|NOP10|KIF18A|H3C14,-13,MyList
Reactome Gene Sets,6,R-HSA-8868773,rRNA processing in the nucleus and cytosol,,-16,11,14,30284,191,346,23,6.6,1.3,1454|1736|2197|6169|6191|6193|6204|6209|6217|6233|8602|22894|51077|51118|51388|54512|54555|55505|55759|55813|81875|84135|88745,CSNK1E|DKC1|FAU|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|NOP14|DIS3|FCF1|UTP11|NIP7|EXOSC4|DDX49|NOP10|WDR12|UTP6|ISG20L2|UTP15|RRP36,-13,MyList
Reactome Gene Sets,6,R-HSA-72312,rRNA processing,,-16,10,14,30284,199,346,23,6.6,1.3,1454|1736|2197|6169|6191|6193|6204|6209|6217|6233|8602|22894|51077|51118|51388|54512|54555|55505|55759|55813|81875|84135|88745,CSNK1E|DKC1|FAU|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|NOP14|DIS3|FCF1|UTP11|NIP7|EXOSC4|DDX49|NOP10|WDR12|UTP6|ISG20L2|UTP15|RRP36,-13,MyList
Reactome Gene Sets,6,R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,,-16,26,18,30284,48,346,14,4,1.1,2197|6191|6193|6204|6209|6217|6233|8487|11218|25929|50628|54960|79760|79833,FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|GEMIN2|DDX20|GEMIN5|GEMIN4|GEMIN8|GEMIN7|GEMIN6,-13,MyList
GO Biological Processes,19,GO:0022618,protein-RNA complex assembly,19_GO:0009987 cellular process,-16,9.3,13,30284,225,346,24,6.9,1.4,1736|2197|3326|6135|6169|6193|6209|6606|8161|8487|11218|11338|23212|24148|25929|50628|51634|54960|79753|79760|79833|84154|84811|91746,DKC1|FAU|HSP90AB1|RPL11|RPL38|RPS5|RPS15|SMN1|COIL|GEMIN2|DDX20|U2AF2|RRS1|PRPF6|GEMIN5|GEMIN4|RBMX2|GEMIN8|SNIP1|GEMIN7|GEMIN6|RPF2|BUD13|YTHDC1,-13,MyList
Reactome Gene Sets,6,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,,-16,8.7,13,30284,252,346,25,7.2,1.4,3550|4236|5431|5437|6625|8449|9631|9785|10283|22938|23225|24148|27238|27316|51634|54883|55094|55234|57703|79753|84248|84811|84950|85313|143884,IK|MFAP1|POLR2B|POLR2H|SNRNP70|DHX16|NUP155|DHX38|CWC27|SNW1|NUP210|PRPF6|GPKOW|RBMX|RBMX2|CWC25|GPATCH1|SMU1|CWC22|SNIP1|FYTTD1|BUD13|PRPF38A|PPIL4|CWF19L2,-13,MyList
Reactome Gene Sets,6,R-HSA-72163,mRNA Splicing - Major Pathway,,-16,10,14,30284,184,346,22,6.4,1.3,3550|4236|5431|5437|6625|8449|9785|10283|22938|24148|27238|27316|51634|54883|55094|55234|57703|79753|84811|84950|85313|143884,IK|MFAP1|POLR2B|POLR2H|SNRNP70|DHX16|DHX38|CWC27|SNW1|PRPF6|GPKOW|RBMX|RBMX2|CWC25|GPATCH1|SMU1|CWC22|SNIP1|BUD13|PRPF38A|PPIL4|CWF19L2,-13,MyList
Reactome Gene Sets,6,R-HSA-72172,mRNA Splicing,,-15,10,14,30284,191,346,22,6.4,1.3,3550|4236|5431|5437|6625|8449|9785|10283|22938|24148|27238|27316|51634|54883|55094|55234|57703|79753|84811|84950|85313|143884,IK|MFAP1|POLR2B|POLR2H|SNRNP70|DHX16|DHX38|CWC27|SNW1|PRPF6|GPKOW|RBMX|RBMX2|CWC25|GPATCH1|SMU1|CWC22|SNIP1|BUD13|PRPF38A|PPIL4|CWF19L2,-12,MyList
GO Cellular Components,20,GO:0098687,chromosomal region,,-15,6.4,12,30284,408,346,30,8.7,1.5,472|545|1059|1452|3014|3020|4751|4998|5001|5347|5431|5931|6598|6790|6839|7272|10051|10111|10635|11004|11143|11177|23137|54433|55320|55719|79577|79677|81930|283489,ATM|ATR|CENPB|CSNK1A1|H2AX|H3-3A|NEK2|ORC1|ORC5|PLK1|POLR2B|RBBP7|SMARCB1|AURKA|SUV39H1|TTK|SMC4|RAD50|RAD51AP1|KIF2C|KAT7|BAZ1A|SMC5|GAR1|MIS18BP1|SLF2|CDC73|SMC6|KIF18A|CHAMP1,-12,MyList
Reactome Gene Sets,6,R-HSA-9824446,Viral Infection Pathways,,-15,4.8,11,30284,692,346,38,11,1.7,1025|2197|3065|3326|3716|3839|5431|5437|5700|5709|5931|6169|6185|6191|6193|6204|6209|6217|6233|6924|7284|7846|8340|8349|8487|9631|10376|10383|11198|11218|23225|25929|50628|51616|54960|79760|79833|126961,CDK9|FAU|HDAC1|HSP90AB1|JAK1|KPNA3|POLR2B|POLR2H|PSMC1|PSMD3|RBBP7|RPL38|RPN2|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|ELOA|TUFM|TUBA1A|H2BC13|H2BC21|GEMIN2|NUP155|TUBA1B|TUBB4B|SUPT16H|DDX20|NUP210|GEMIN5|GEMIN4|TAF9B|GEMIN8|GEMIN7|GEMIN6|H3C14,-12,MyList
Reactome Gene Sets,6,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-15,10,13,30284,182,346,21,6.1,1.3,1454|2197|6169|6191|6193|6204|6209|6217|6233|8602|22894|51077|51118|51388|54512|54555|55759|55813|81875|84135|88745,CSNK1E|FAU|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|NOP14|DIS3|FCF1|UTP11|NIP7|EXOSC4|DDX49|WDR12|UTP6|ISG20L2|UTP15|RRP36,-12,MyList
GO Biological Processes,19,GO:0042274,ribosomal small subunit biogenesis,19_GO:0009987 cellular process,-14,14,14,30284,108,346,17,4.9,1.2,2197|6191|6193|6209|6217|6233|6838|8602|23212|51077|51118|55813|64434|65083|84135|88745|91582,FAU|RPS4X|RPS5|RPS15|RPS16|RPS27A|SURF6|NOP14|RRS1|FCF1|UTP11|UTP6|NOM1|NOL6|UTP15|RRP36|RPS19BP1,-11,MyList
GO Biological Processes,19,GO:0051052,regulation of DNA metabolic process,19_GO:0050789 regulation of biological process,-13,5.4,11,30284,505,346,31,9,1.5,472|545|708|1025|1736|2648|3014|4751|5001|5347|6598|6742|6950|7203|7270|7913|8089|9131|10111|10575|10635|11143|11177|23137|55719|55929|57332|64061|64282|79677|254225,ATM|ATR|C1QBP|CDK9|DKC1|KAT2A|H2AX|NEK2|ORC5|PLK1|SMARCB1|SSBP1|TCP1|CCT3|TTF1|DEK|YEATS4|AIFM1|RAD50|CCT4|RAD51AP1|KAT7|BAZ1A|SMC5|SLF2|DMAP1|CBX8|TSPYL2|TENT4B|SMC6|RNF169,-10,MyList
GO Cellular Components,20,GO:0032797,SMN complex,,-13,64,22,30284,11,346,8,2.3,0.81,6606|8487|11218|25929|50628|54960|79760|79833,SMN1|GEMIN2|DDX20|GEMIN5|GEMIN4|GEMIN8|GEMIN7|GEMIN6,-10,MyList
GO Cellular Components,20,GO:0005759,mitochondrial matrix,,-13,5.2,10,30284,520,346,31,9,1.5,34|498|506|708|1373|2108|3030|3032|3313|3329|5160|5162|5831|6389|6472|6742|7284|7417|8801|9093|9361|10128|10131|28998|29093|29920|51067|55210|56652|57570|64216,ACADM|ATP5F1A|ATP5F1B|C1QBP|CPS1|ETFA|HADHA|HADHB|HSPA9|HSPD1|PDHA1|PDHB|PYCR1|SDHA|SHMT2|SSBP1|TUFM|VDAC2|SUCLG2|DNAJA3|LONP1|LRPPRC|TRAP1|MRPL13|MRPL22|PYCR2|YARS2|ATAD3A|TWNK|TRMT5|TFB2M,-10,MyList
GO Cellular Components,20,GO:0097504,Gemini of coiled bodies,,-13,58,21,30284,12,346,8,2.3,0.81,6606|8487|11218|25929|50628|54960|79760|79833,SMN1|GEMIN2|DDX20|GEMIN5|GEMIN4|GEMIN8|GEMIN7|GEMIN6,-10,MyList
Reactome Gene Sets,6,R-HSA-9705683,SARS-CoV-2-host interactions,,-13,9.4,12,30284,176,346,19,5.5,1.2,2197|3326|3716|6191|6193|6204|6209|6217|6233|7284|8487|9631|11218|23225|25929|50628|54960|79760|79833,FAU|HSP90AB1|JAK1|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|TUFM|GEMIN2|NUP155|DDX20|NUP210|GEMIN5|GEMIN4|GEMIN8|GEMIN7|GEMIN6,-9.8,MyList
GO Molecular Functions,21,GO:0003682,chromatin binding,,-13,4.7,10,30284,615,346,33,9.5,1.6,905|1025|1059|2648|3020|3065|4298|4300|4673|4998|5431|5563|6045|6472|6598|6742|6839|7270|7343|8932|9960|10051|11143|11198|23133|27316|29781|54840|57332|57727|64061|222698|254225,CCNT2|CDK9|CENPB|KAT2A|H3-3A|HDAC1|MLLT1|MLLT3|NAP1L1|ORC1|POLR2B|PRKAA2|RNF2|SHMT2|SMARCB1|SSBP1|SUV39H1|TTF1|UBTF|MBD2|USP3|SMC4|KAT7|SUPT16H|PHF8|RBMX|NCAPH2|APTX|CBX8|NCOA5|TSPYL2|NKAPL|RNF169,-9.7,MyList
GO Cellular Components,20,GO:0005684,U2-type spliceosomal complex,,-13,14,13,30284,95,346,15,4.3,1.1,3550|4236|6625|8449|10283|11338|22938|24148|51634|54883|55234|57703|79753|84811|84950,IK|MFAP1|SNRNP70|DHX16|CWC27|U2AF2|SNW1|PRPF6|RBMX2|CWC25|SMU1|CWC22|SNIP1|BUD13|PRPF38A,-9.7,MyList
GO Cellular Components,20,GO:0000793,condensed chromosome,,-13,7.1,11,30284,285,346,23,6.6,1.3,1059|1452|3014|3020|4751|5347|6598|6790|6839|7272|7846|10051|10111|10128|11004|23137|23212|29781|55719|65083|79677|81930|283489,CENPB|CSNK1A1|H2AX|H3-3A|NEK2|PLK1|SMARCB1|AURKA|SUV39H1|TTK|TUBA1A|SMC4|RAD50|LRPPRC|KIF2C|SMC5|RRS1|NCAPH2|SLF2|NOL6|SMC6|KIF18A|CHAMP1,-9.7,MyList
