UMAP_1	UMAP_2
EPB41L4A 1-1	0.442057393243604	2.17826195517323
ERGIC1 1-1	-1.77201578790874	5.12705333987019
ERGIC2 1-1	-1.14096424753398	4.01883896151325
ESRP1	-0.989400603124805	-5.6153020068095
EXOSC10 8-2	-2.53499291116924	-1.13512901505688
EZRI 1-3	0.595997355630689	1.74194606104633
FAM120C-C 8-2	6.07252623861103	-0.69836823186138
FAM120C 8-2	7.4608881694582	-0.388976137249258
FAM184A-C 2-10	-0.933363177129932	-0.334510604946402
FAM90A1-C 3-2	-5.29339239771099	-0.3038886590884
FBL 1-1	-4.88328478510112	-0.426762799827841
FBRL 1-3	-5.37089464838237	-0.340690652935294
FMR1-C 8-2	5.79483225171833	-0.138116519062308
FMR1 8-2	6.30414750402241	-0.100502829162863
G3BP1 8-2	6.98786380117207	0.379725758822176
GJA1 1-1	-1.53396914179058	4.78901155749104
GLE1-C 8-2	-2.08396647150249	-2.91209356030681
GR3KR 5-3	-2.995239474127	-4.47786704739788
GSK3B 1-3	-3.66622040445537	-2.99239556035259
GTPBP1-C 8-2	2.44288959329396	2.19662280836842
H31 1-3	-2.93908426935405	-0.211784998981741
HDLBP-C 8-2	5.66000296895771	-0.2647639914439
Helz 8-2	7.92546870534687	0.504251924247953
HIST1H2BG 1-1	-1.7123124378416	1.46253110924503
HIST1H3A 1-1	-1.93315193826885	0.838619490058633
HNRNPA1 1-1	-0.784508444616504	-5.76353017529705
HOXA2-C 3-2	-1.66470692331523	0.552468840868684
HOXB2-C 3-2	-1.12129614526958	1.0970946148946
HSCB 2-10	-2.82094786340923	5.35323103228352
HSF1-HS	-2.14979622537822	0.986236800344202
HSF1+HS	-3.10417483026714	-2.14785639485576
HSP7C 1-3	-4.24732420618267	-0.959350268451956
HSPA12A 2-10	-0.867950178930469	-1.41439048489788
HSPA12B-C 2-10	-0.481289603063769	-0.911967794506338
HSPA13 2-10	-0.277137972662158	-4.79526654919842
HSPA1A 2-10	-1.24654219324321	-1.7402381106303
HSPA1B 2-10	-0.531702734777637	-1.55698386868694
HSPA1L 2-10	-0.760707117864795	-1.17925194939831
HSPA2 2-10	-0.671573855230517	-1.14618877610424
HSPA5 2-10	-0.81984350855083	-0.0169415279314789
HSPA6 2-10	-0.822471358129687	-1.04743055543163
HSPA8 2-10	-0.569732405492969	-1.0428960724757
HSPA9 2-10	-1.38107130701274	2.29087992468617
IBTK 8-2	-0.528448798010059	0.222407151849481
IGF2BP1-C 8-2	7.88329341237812	-0.369250218479422
IGF2BP2-C 8-2	8.21041610067158	-0.0208183332369598
ILF3-C 8-2	-5.25007937128276	-0.609263341038016
ILKAP 8-11	-3.9391829746458	-0.449823121635702
IMPDH2 1-1	3.35047014777928	2.34639092245838
IPO11-C 8-2	-2.05828306848735	-2.81880776128033
JAZF1-C 3-2	-1.34296581918926	1.65817364016316
KDM1A 1-1	2.58929338281422	2.82329304972431
KIAA0355-C 8-2	5.97836282079487	-0.676252524463919
KIAA0355 8-2	0.631413720300488	-1.57037297925213
KIF1B-C 8-2	7.17302920644551	-0.197274307815817
KIF1B 8-2	5.74034573858052	-0.171823601333884
KIF2A 1-1	2.98762913768559	2.42916174689076
KLF15-C 3-2	-0.977870203802295	1.1722032622411
KLF6-C 3-2	-0.702229716131396	2.33383878031513
KRT18 1-1	3.19806691234379	2.62659033098957
KRT8 1-1	3.37839215224057	2.34651299277088
Ku70-DvWA 2-7	-0.820255019018359	0.666485358865472
Ku70-vWA 2-7	2.46800806348591	2.9304264382436
Ku70 2-7	-0.574290491888232	-1.70558468541363
LAMP1 1-1	-0.895371653387256	3.56590421953938
LAMP1 1-3	-2.46132252390117	5.50859459200642
LAMP2 1-1	-1.77542851145	5.0811673001363
LAMP3 1-1	-1.71563742334575	5.26703890124104
LATS1 1-1	3.42872082417279	2.08547695437214
LMNA 1-1	-2.38689682657451	5.54536445894978
LMNA 1-3	-2.80213806802959	5.20142753878376
LMNB1 1-1	-2.31487009699077	5.41016109743855
LNPK 1-1	-2.23259184534282	5.53701456347248
LNPK_C 1-1	-1.90106938059062	5.3234973744466
LRRC59 1-1	-1.88615009958477	5.04254587450764
LRRC59_C 1-1	-1.17824194605083	3.80928786555073
LRRC61-C 2-10	0.0128000003603028	-1.40742747029522
LSM2 8-2	1.29130770986348	-0.846471588222769
LSM4 8-2	1.00716283147603	-0.98579875668743
LYN 1-1	0.693361781289868	2.38469048300526
MARCKS 1-1	2.22449817483693	2.72366793909809
MCRIP2-C 8-2	7.7999937755373	0.254923035295221
MED13 1-3	-0.623070456335254	2.57845767298481
MEX3B-C-(334N-S) 8-2	7.36355426137715	0.252235908897134
MKRN2-C 8-2	7.46614816015034	0.29909661868355
MKRN2 8-2	6.39520647352009	-0.571252982227591
MLLT4 1-1	3.01127567117482	2.08068176069996
MOV10-C 8-2	8.06895139043599	-0.2609598442004
NCBP2 8-2	-0.577788092443652	-1.59729234418133
NCBP3 1-1	-0.447383620092578	1.44935735026142
NDC80 1-1	2.68039324109822	2.38138099470875
NIFK 1-1	-5.60153219873638	-0.424527268020895
NOP56 1-1	-5.11624071771831	-0.51900188168743
NUP155 1-1	-2.03561947519512	4.81775577822468
NUP155_C 1-1	-2.36917612726421	4.89046772280476
NUP50 1-1	-2.38084862405986	-3.08857862195232
NUTM2F-C 3-2	-1.4629809635374	2.15478118220112
NXF1 8-2	-2.88735172922344	-4.96234027585247
OTUD4 8-2	6.7075729591158	0.161225964219782
PABPC1 8-2	8.15925624196797	0.602582425714943
PARN-C 8-2	-1.24903271372051	-1.48938981732586
PARP1 1-1	3.12093492572575	2.1160589055135
PATL1-C 8-2	7.63156225507527	-0.557228962986258
PAX3-FOXO1-C 3-7	-3.33755037958354	-3.12355510434368
PAX3-FOXO1 3-7	-3.17611191446514	-4.1160082026408
PDCD4 8-2	-0.935585238287158	-1.5859789057658
PEX14 1-1	2.16128482644825	2.99004967966816
PEX3 1-1	1.18845369642048	2.54625328341267
PHB2 1-1	0.779979251077466	2.49611993590138
PKA 4-5	-1.92749903375835	-5.60448304852703
POLR1E 1-1	-5.32327578241558	0.129127968938562
POLR2C 1-1	2.30163290326863	2.6917994813039
PPM1B 8-11	2.79311420743733	1.42341115036747
PPM1E 8-11	-0.382350661108203	1.11689706602833
PPP4R2 8-2	-1.82122013742656	1.62956400671742
PPP4R3A 8-2	-1.04798386270732	-0.950326363651541
PPP4R3B 8-2	-1.52714512521953	1.78997226515553
PPWD1	-2.5080249088499	-3.21188894948223
PRKACA-C 2-10	-2.67242787058086	5.02505024233601
PRPF19 8-2	-2.41801474268169	-4.36866943082073
PRRC2A-FL-C 8-2	8.04621674840718	0.408811514170381
PRRC2B-C 8-2	7.39072086637288	-0.0297530694887909
PSA1 1-3	-0.548674322912402	1.7268268660619
PTEN 8-11	-0.883624769994922	2.37258430281422
PTK2 1-1	2.85171952073842	2.10371514120838
PTPN11 8-11	-4.65655920679302	0.201179702670786
PTPN23 8-2	-0.644105650732226	-1.26341633042553
PTPRA 8-11	-0.298347212621875	2.01083024302265
PUM1-C 8-2	8.06135728185444	-0.0871189638064178
RAB5A 1-3	-1.35175488168926	4.04605873385212
RAD18	-3.27756998712749	-2.46318022450664
RBM47-C 8-2	8.22747351949482	0.383952130468103
RBMS1-C 8-2	8.26061513250142	0.428656612427446
RDX 1-1	2.86400445525914	2.38093884745381
RHOB 1-1	1.48200537984639	2.35569079676411
RNA-HOTAIR 2-5	-1.08943531686992	0.65131603637478
RNF146-H53A-R163A 8-12	-0.27111361200542	1.43703093090794
RNF146-H53A 8-12	-0.31967899973125	1.13792904177448
RNF146-R163A 8-12	0.0553968173769044	2.40723641672871
RNF146 8-12	-0.416985728094287	1.3566178278043
RNF219-C 8-2	-1.26551363641948	2.58051379481098
RNGTT 8-2	-1.11913702661724	-1.42387918671825
RPS24 1-1	-5.77870485956401	-0.345401148407248
RPS6 1-1	-5.83881209070415	-0.168880502788809
RPS6 1-3	-5.60941908533306	-0.378298859207419
RRAGC-QL 5-7	3.57846596067219	1.17407645741245
RRAGC-TN 5-7	0.0858907920625733	2.01268120566151
RRAGC 5-7	3.62664664511948	0.742673014195177
RWDD1-C 2-10	-0.388838507482715	-5.0820464297221
SAMD4B-C 8-2	6.16493036573201	-0.405982236473349
SBF2 8-11	-1.41334078485698	2.35618217745564
SEC63-C 2-10	-2.19615099603862	5.51572664538166
SERBP1 1-1	5.8734858257082	-0.331458310692099
SHMT2-C 5-6	-0.602480627844043	2.49536641398213
SMAP2-C 8-2	7.13601162259846	0.156915803344461
SMG6-C 8-2	0.294533513238721	-1.34207038125255
SMG7-C 8-2	-0.887874819585986	-5.42245904645183
SMG7 8-2	-1.95174191171855	-5.95654384335735
SOX7-C 3-2	-3.53942654306621	-3.11537949284771
SPDYE4-C 3-2	-3.58393404657573	-1.59611789426067
SQSTM1 1-1	3.17650868718892	1.94219287195942
SRF-C 3-2	-3.34218905145854	-2.96009651860454
SS18L2-C 3-2	-0.714584566900439	2.09916122713825
SSH3 8-11	-0.251190878698535	1.56828196802876
ST7 8-2	-2.56433270151348	5.51032026568195
STRAP-C 8-2	3.45802309339314	0.550502166987869
STX6 1-1	-0.511616923162646	3.45403631487629
SUPT5H-C 8-2	-2.32662460977764	-5.85079757413128
SUZ12-C 3-2	-1.52690670664043	0.88390128770611
SYMPK 8-2	-2.3716461437437	-5.82336751660564
SYNCRIP-C 8-2	5.70961799447804	-0.5291523142741
TBA1A 1-3	0.0687384826448487	3.51329811373493
TBG1 1-3	-1.94636795694561	-2.10324160298565
TBK1-C 8-2	-1.20605251962871	-1.27935795029857
TDRD3-C 8-2	5.85019566839009	-0.376120190231589
TDRD3 8-2	6.24239136998921	-0.371603529064444
THOC1 8-2	-0.650793768713184	-1.34953645905712
TJP2 1-1	2.28311219041615	2.3548569277837
TLK1 2-8	-2.77953360254497	-2.91519300183514
TLK2-529 2-8	-2.9482915180418	-4.68690196713665
TLK2-595 2-8	-2.56207249338359	-2.74804274281719
TLK2 2-8	-2.58843014414043	-2.58967630109051
TMPO 1-1	-2.21242211038799	5.31118925371906
TNRC6A-FL-C 8-2	7.31379153554707	-0.506214301197317
TNRC6A-FL 8-2	7.54386546438008	-0.583053271381644
TOP2B 8-13	-3.84594080621929	-0.707625071613577
TOP3B-C 8-2	6.8273821098116	-0.00212631663539731
TRIM36 1-1	2.60130467241078	2.06870349207661
TRIM36_C 1-1	1.80960347478657	2.40720196524403
UBALD1 8-5	-3.78707907373638	-2.90460602483013
UBAP2L-C 8-2	7.50880911176472	-0.327090839950827
UTP4 1-1	3.06480445688038	1.45488359490177
VAPA 1-1	-1.37241814310283	4.12711580553791
VIM 1-1	3.14971735303669	2.37918682852528
VPS33A-C 7-12	3.22125693385869	0.616357435376856
VPS33A-YI-C 7-12	2.86283709829121	0.743309234173509
XRN2 8-2	-1.19854757959575	-5.74110309323528
YTHDF2-C 8-2	7.33998205487996	0.317731638343546
YTHDF2 8-2	6.87922336881428	-0.467947523205069
ZC3H7A-C 8-2	7.2829997760561	0.11192925730488
ZC3H7A 8-2	7.83974482839375	0.339110677035066
ZCCHC10	-2.7666713970396	-5.12173787793377
ZCCHC11-C 8-2	0.0813808662202882	-1.5467304392741
ZFP36-C 8-2	7.69442751233845	0.109388817937585
ZYX 1-1	3.24585922782689	2.52509351530811
