GO	Description	Category	CategoryID
R-HSA-168273	Influenza Viral RNA Transcription and Replication	Reactome Gene Sets	DNA replication
R-HSA-171306	Packaging Of Telomere Ends	Reactome Gene Sets	Chromatin stablity
R-HSA-171319	Telomere Extension By Telomerase	Reactome Gene Sets	Chromatin stablity
R-HSA-174411	Polymerase switching on the C-strand of the telomere	Reactome Gene Sets	Chromatin stablity
R-HSA-174414	Processive synthesis on the C-strand of the telomere	Reactome Gene Sets	Chromatin stablity
R-HSA-174417	Telomere C-strand (Lagging Strand) Synthesis	Reactome Gene Sets	Chromatin stablity
R-HSA-174430	Telomere C-strand synthesis initiation	Reactome Gene Sets	Chromatin stablity
R-HSA-180746	Nuclear import of Rev protein	Reactome Gene Sets	Transport
R-HSA-180786	Extension of Telomeres	Reactome Gene Sets	Chromatin stablity
R-HSA-180910	Vpr-mediated nuclear import of PICs	Reactome Gene Sets	Transport
R-HSA-191859	snRNP Assembly	Reactome Gene Sets	RNA Splicing and maturation
R-HSA-212165	Epigenetic regulation of gene expression	Reactome Gene Sets	Transcriptional Regulation
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Reactome Gene Sets	Transcriptional Regulation
R-HSA-2262752	Cellular responses to stress	Reactome Gene Sets	Cellular responses to stress
R-HSA-2559580	Oxidative Stress Induced Senescence	Reactome Gene Sets	Cellular responses to stress
R-HSA-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Reactome Gene Sets	Chromatin organization
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	Reactome Gene Sets	Cellular responses to stress
R-HSA-2980766	Nuclear Envelope Breakdown	Reactome Gene Sets	Cell Cycle
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	Reactome Gene Sets	DNA Repair
R-HSA-3232118	SUMOylation of transcription factors	Reactome Gene Sets	Transcriptional Regulation
R-HSA-3247509	Chromatin modifying enzymes	Reactome Gene Sets	Chromatin organization
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	Reactome Gene Sets	Cell Cycle
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	Reactome Gene Sets	Cellular responses to stress
R-HSA-3371556	Cellular response to heat stress	Reactome Gene Sets	Cellular responses to stress
R-HSA-3700989	Transcriptional Regulation by TP53	Reactome Gene Sets	Transcriptional Regulation
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	Reactome Gene Sets	Transcriptional Regulation
R-HSA-3899300	SUMOylation of transcription cofactors	Reactome Gene Sets	Transcriptional Regulation
R-HSA-426496	Post-transcriptional silencing by small RNAs	Reactome Gene Sets	RNA stabilization and catabolic process
R-HSA-429914	Deadenylation-dependent mRNA decay	Reactome Gene Sets	RNA modification
R-HSA-429947	Deadenylation of mRNA	Reactome Gene Sets	RNA modification
R-HSA-430039	mRNA decay by 5' to 3' exoribonuclease	Reactome Gene Sets	RNA stabilization and catabolic process
R-HSA-450513	"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"	Reactome Gene Sets	RNA stabilization and catabolic process
R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	Reactome Gene Sets	RNA stabilization and catabolic process
R-HSA-4551638	SUMOylation of chromatin organization proteins	Reactome Gene Sets	Chromatin organization
R-HSA-4615885	SUMOylation of DNA replication proteins	Reactome Gene Sets	DNA replication
R-HSA-4655427	SUMOylation of DNA methylation proteins	Reactome Gene Sets	Chromatin organization
R-HSA-4839726	Chromatin organization	Reactome Gene Sets	Chromatin organization
R-HSA-5578749	Transcriptional regulation by small RNAs	Reactome Gene Sets	Transcriptional Regulation
R-HSA-5685942	HDR through Homologous Recombination (HRR)	Reactome Gene Sets	Cell Cycle
R-HSA-5693532	DNA Double-Strand Break Repair	Reactome Gene Sets	DNA Repair
R-HSA-5693537	Resolution of D-Loop Structures	Reactome Gene Sets	DNA replication
R-HSA-5693538	Homology Directed Repair	Reactome Gene Sets	DNA Repair
R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome Gene Sets	DNA Repair
R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	Reactome Gene Sets	DNA replication
R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	Reactome Gene Sets	DNA Repair
R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	Reactome Gene Sets	DNA Repair
R-HSA-5693607	Processing of DNA double-strand break ends	Reactome Gene Sets	DNA Repair
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	Reactome Gene Sets	DNA Repair
R-HSA-5696394	DNA Damage Recognition in GG-NER	Reactome Gene Sets	DNA Repair
R-HSA-5696398	Nucleotide Excision Repair	Reactome Gene Sets	DNA Repair
R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	Reactome Gene Sets	DNA Repair
R-HSA-674695	RNA Polymerase II Pre-transcription Events	Reactome Gene Sets	Pol II processing
R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	Reactome Gene Sets	DNA Repair
R-HSA-6790901	rRNA modification in the nucleus and cytosol	Reactome Gene Sets	RNA modification
